School Code,School Name,TOTAL_Enrollment,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",Total # of Classes,Average Class Size,Number of Students,Average Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),% Attending College,% Private Two-Year,% Private Four-Year,% Public Two-Year,% Public Four-Year,% MA Community College,% MA State University,% UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,% AP_Score 1-2,% AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
6030004,Cheshire Elementary,244,81,33.2,4.1,0.4,1.2,93.4,0,0,0.8,120,16.4,248,12906.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6030505,Hoosac Valley Middle & High School,622,244,39.2,5.1,1.3,1.4,91.8,0.2,0,0.2,379,14.1,637,12906.46,72,83.3,1.4,2.8,4.2,8.3,0,79,65,82.3,0,26.2,43.1,30.8,41.5,20,4.6,81,133,46,18,17,0,0,26,41,39,20,7,50.4,49.6,44,494,478,489
6030020,Plunkett Elementary,451,267,59.2,4,0.2,2.2,89.8,0.2,0.2,3.3,198,18.8,455,12906.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300305,Advanced Math and Science Academy Charter School,952,58,6.1,2.4,19.2,5.8,66.9,0.3,0,5.4,480,19.3,981,,181,100,0,0,0,0,0,128,115,89.8,0,53.9,7,39.1,7,7.8,13,290,581,124,81,56,20,9,20,69,130,166,196,15.3,84.7,176,606,604,658
4090205,Alma del Mar Charter School,324,174,53.7,14.2,0.6,47.2,31.8,0.3,0,5.9,46,34.2,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6050505,Amherst Regional High,926,203,21.9,7,9.5,14.3,59.9,0.1,0,9.2,898,12.9,926,19978.57,227,91.6,4.4,0,0.9,3.1,0,246,206,83.7,0.5,46.6,27.7,25.2,26.7,2.4,14.6,131,208,70,47,12,2,0,10,16,47,75,60,12.5,87.5,174,594,564,601
6050405,Amherst Regional Middle School,432,92,21.3,6.9,7.9,16.7,59.7,0,0.5,8.3,286,17.7,457,19978.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100025,Briggs Elementary,536,101,18.8,0.2,0.4,5.8,92.4,0,0,1.3,257,21.8,578,12755.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100010,Meetinghouse School,160,21,13.1,1.3,0,4.4,93.8,0,0,0.6,81,20.4,165,12755.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100505,Oakmont Regional High School,702,99,14.1,0.6,1,2.3,94.4,0,0,1.7,385,16,704,12755.48,169,94.1,5.9,0,0,0,0,164,144,87.8,0,26.4,18.1,55.6,18.1,32.6,13.9,100,142,65,28,7,0,0,7,32,58,28,17,27.5,72.5,127,511,488,514
