time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-23T16:44:56.121Z,36.3537,19.5819,10,4.7,mb,,67,2.053,0.79,us,us6000hfvc,2022-04-23T17:08:35.040Z,"187 km SW of Lithakiá, Greece",earthquake,5.7,1.4,0.102,29,reviewed,us,us
2022-04-23T16:28:02.400Z,35.721,-117.486,1.58,1.15,ml,15,109,0.131,0.16,ci,ci40244432,2022-04-23T16:31:36.608Z,"9km SW of Searles Valley, CA",earthquake,0.33,0.64,0.116,11,automatic,ci,ci
2022-04-23T16:03:16.055Z,60.9876,-149.026,19.4,1.6,ml,,,,0.5,ak,ak0225759tv9,2022-04-23T16:06:01.129Z,"9 km ENE of Girdwood, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-04-23T15:59:45.739Z,63.4912,-151.218,4.9,2,ml,,,,0.87,ak,ak0225750gn4,2022-04-23T16:07:31.384Z,"25 km ESE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-04-23T15:55:08.770Z,38.8364983,-122.8345032,1.75,0.37,md,17,67,0.002225,0.04,nc,nc73722315,2022-04-23T18:13:13.927Z,"9km NW of The Geysers, CA",earthquake,0.24,0.51,0.21,3,automatic,nc,nc
2022-04-23T15:38:07.230Z,19.191333770752,-155.489669799805,32.3499984741211,2.25,ml,45,70,,0.170000002,hv,hv72993417,2022-04-23T17:17:59.040Z,"1 km SW of Pāhala, Hawaii",earthquake,0.54,0.790000021,3.83,6,automatic,hv,hv
2022-04-23T15:22:18.420Z,38.8349991,-122.7853317,1.71,0.96,md,22,66,0.005188,0.03,nc,nc73722300,2022-04-23T17:46:13.750Z,"6km WNW of Cobb, CA",earthquake,0.21,0.37,0.19,3,automatic,nc,nc
2022-04-23T15:13:00.260Z,18.023,-66.7803333333333,18.23,2.19,md,11,125,,0.18,pr,pr71345593,2022-04-23T15:39:08.820Z,"1 km ENE of Guayanilla, Puerto Rico",earthquake,0.5,0.81,0.122994482005293,7,reviewed,pr,pr
2022-04-23T15:08:13.380Z,19.191499710083,-155.475997924805,33.7400016784668,2.44000006,md,44,142,,0.119999997,hv,hv72993407,2022-04-23T15:58:18.040Z,"1 km SSE of Pāhala, Hawaii",earthquake,0.51,0.699999988,1.28999996,32,automatic,hv,hv
2022-04-23T15:07:53.260Z,19.3330001831055,-155.441833496094,32.75,1.84,ml,13,106,,0.200000003,hv,hv72993402,2022-04-23T15:13:23.310Z,"14 km NNE of Pāhala, Hawaii",earthquake,1.33,1.87,4.69,5,automatic,hv,hv
2022-04-23T15:01:38.300Z,46.6785,-121.69166666666666,1.75,0.68,ml,13,238,0.09833,0.15,uw,uw61833551,2022-04-23T20:20:08.360Z,"8 km NNW of Packwood, Washington",earthquake,0.57,3.06,0.14355488179940257,5,reviewed,uw,uw
2022-04-23T14:50:12.140Z,38.8023338,-122.8188324,2.28,0.49,md,13,75,0.01039,0.02,nc,nc73722295,2022-04-23T15:13:13.843Z,"6km WNW of The Geysers, CA",earthquake,0.5,0.81,0.35,2,automatic,nc,nc
2022-04-23T14:48:32.501Z,35.0802002,-96.28342438,1.110862494,2.2,ml,14,164.7806931,0.2456471175,0.7703261927,ok,ok2022hxtr,2022-04-23T14:51:19.761Z,"3 km WSW of Horntown, Oklahoma",earthquake,4.5537948,3.29612323,,10,automatic,ok,ok
2022-04-23T14:41:39.870Z,35.9755,-117.391,0.09,2.04,ml,23,109,0.1215,0.18,ci,ci40244360,2022-04-23T14:45:26.324Z,"23km N of Searles Valley, CA",earthquake,0.4,31.61,0.131,26,automatic,ci,ci
2022-04-23T14:32:14.721Z,63.5977,-147.8938,33.8,1.4,ml,,,,0.8,ak,ak02257496b2,2022-04-23T14:34:44.702Z,"52 km ESE of Denali Park, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-04-23T14:30:11.250Z,38.8673325,-122.8048325,0.93,0.87,md,14,161,0.01208,0.03,nc,nc73722285,2022-04-23T17:05:19.477Z,"9km NW of Cobb, CA",earthquake,0.46,0.61,,1,automatic,nc,nc
2022-04-23T14:30:00.610Z,38.8428345,-122.8398361,2.11,0.87,md,16,120,0.005432,0.01,nc,nc73722280,2022-04-23T16:39:15.328Z,"10km NW of The Geysers, CA",earthquake,0.26,0.47,0.01,2,automatic,nc,nc
2022-04-23T14:28:51.630Z,33.8033333,-117.7926667,10.86,1.89,ml,56,66,0.02529,0.21,ci,ci40244352,2022-04-23T14:40:21.250Z,"2km ESE of Villa Park, CA",earthquake,0.28,0.5,0.122,27,automatic,ci,ci
2022-04-23T14:20:32.480Z,18.0313333333333,-67.0515,12.97,2.39,md,6,155,,0.33,pr,pr71345583,2022-04-23T14:57:16.240Z,"2 km SSE of Lajas, Puerto Rico",earthquake,2.57,2.39,0.153660252515247,5,reviewed,pr,pr
2022-04-23T14:19:02.103Z,63.4807,-148.4353,10.2,1.1,ml,,,,0.6,ak,ak0225746d1e,2022-04-23T14:22:09.427Z,"27 km ENE of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-04-23T14:18:51.206Z,57.3763,-155.5715,12.8,1.9,ml,,,,0.56,ak,ak022574694v,2022-04-23T14:26:16.350Z,"70 km WSW of Karluk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-04-23T14:11:23.010Z,38.8395004,-122.8378296,1.59,0.86,md,8,114,0.002043,0.02,nc,nc73722275,2022-04-23T16:11:20.164Z,"10km NW of The Geysers, CA",earthquake,0.49,1.04,,1,automatic,nc,nc
2022-04-23T14:07:03.600Z,37.7545,101.4734,10,4.8,mb,,117,10.7,0.91,us,us6000hfup,2022-04-23T19:39:04.206Z,"103 km W of Wuwei, China",earthquake,11.6,1.9,0.055,103,reviewed,us,us
2022-04-23T14:01:49.170Z,38.8348351,-122.8078308,2.45,0.85,md,9,103,0.01156,0.01,nc,nc73722265,2022-04-23T15:20:14.884Z,"8km W of Cobb, CA",earthquake,0.43,1.3,,1,automatic,nc,nc
2022-04-23T13:49:41.418Z,61.517,-149.8759,33.3,1.8,ml,,,,0.62,ak,ak022573rfy5,2022-04-23T13:52:58.249Z,"4 km E of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-04-23T13:43:42.170Z,61.5254,-149.8834,34.7,1.6,ml,,,,0.84,ak,ak022573q5pl,2022-04-23T13:45:39.490Z,"3 km E of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-04-23T13:33:42.000Z,40.2026667,-111.1433333,6.29,1.74,md,10,88,0.2266,0.09,uu,uu60493972,2022-04-23T17:04:29.950Z,"14 km SE of Independence, Utah",earthquake,0.39,5.11,0.103,6,reviewed,uu,uu
2022-04-23T13:31:57.234Z,38.1836,-117.8561,13.1,0.9,ml,9,184.89,0.093,0.0865,nn,nn00837761,2022-04-23T13:35:55.285Z,"31 km SE of Mina, Nevada",earthquake,,1,0.4,5,automatic,nn,nn
2022-04-23T13:30:20.357Z,61.274,-150.454,50.6,1.1,ml,,,,0.55,ak,ak022573nbpv,2022-04-23T13:32:30.053Z,"27 km WSW of Point MacKenzie, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-04-23T13:18:10.410Z,38.8313332,-122.8151703,1.23,0.57,md,19,55,0.00887,0.02,nc,nc73722255,2022-04-23T14:27:18.596Z,"8km NW of The Geysers, CA",earthquake,0.21,0.54,0.34,2,automatic,nc,nc
2022-04-23T13:15:35.850Z,19.1728324890137,-155.490005493164,31.3199996948242,2.20000005,md,41,91,,0.119999997,hv,hv72993332,2022-04-23T13:18:57.260Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.54,0.850000024,1.96000004,22,automatic,hv,hv
2022-04-23T13:14:45.392Z,29.6128,51.9734,10,4.4,mb,,78,5.981,0.9,us,us6000hfuh,2022-04-23T16:50:12.438Z,"30 km E of Kāzerūn, Iran",earthquake,6,1.9,0.095,32,reviewed,us,us
2022-04-23T13:06:57.990Z,35.808,-117.633,6.22,1.12,ml,16,73,0.02986,0.24,ci,ci40244344,2022-04-23T13:10:39.721Z,"21km WNW of Searles Valley, CA",earthquake,0.38,0.8,0.186,12,automatic,ci,ci
2022-04-23T13:02:57.350Z,19.1671657562256,-155.491836547852,31.2099990844727,2.1400001,md,39,103,,0.150000006,hv,hv72993307,2022-04-23T13:06:06.840Z,"4 km SSW of Pāhala, Hawaii",earthquake,0.53,0.790000021,1.09000003,15,automatic,hv,hv
2022-04-23T12:58:40.920Z,38.8421669,-122.8264999,3.16,0.37,md,8,104,0.007875,0.02,nc,nc73722250,2022-04-23T14:01:14.461Z,"9km WNW of Cobb, CA",earthquake,0.91,3.62,,1,automatic,nc,nc
2022-04-23T12:58:07.912Z,64.5974,-149.5099,20,1.2,ml,,,,0.67,ak,ak0225737v7b,2022-04-23T12:59:57.874Z,"18 km W of Four Mile Road, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-04-23T12:57:29.770Z,34.1446667,-117.4561667,12.02,1.04,ml,20,131,0.1134,0.15,ci,ci40244336,2022-04-23T13:01:18.673Z,"5km N of Fontana, CA",earthquake,0.43,0.73,0.222,23,automatic,ci,ci
2022-04-23T12:55:56.966Z,31.65809185,-104.3048699,7.391259766,3.1,ml,20,59,0.03666545297,0.2,tx,tx2022hxpy,2022-04-23T13:11:09.936Z,"57 km S of Whites City, New Mexico",earthquake,0.928391312,0.8885968025,0.1,12,reviewed,tx,tx
2022-04-23T12:41:33.620Z,19.1758327484131,-155.486999511719,30.6599998474121,2.48,ml,46,85,,0.129999995,hv,hv72993277,2022-04-23T13:13:37.040Z,"3 km SSW of Pāhala, Hawaii",earthquake,0.49,0.75,3,9,automatic,hv,hv
